日付(JST),登録者数(累積),セッション人数,メッセージ送信者数
2025-10-11,2,0,1
2025-10-12,2,0,0
2025-10-13,2,0,2
2025-10-14,2,0,0
2025-10-15,5,0,3
2025-10-16,12,0,5
2025-10-17,13,0,2
2025-10-18,13,0,0
2025-10-19,14,0,4
2025-10-20,22,0,11
2025-10-21,26,0,9
2025-10-22,31,0,13
2025-10-23,35,0,17
2025-10-24,37,0,12
2025-10-25,38,0,8
2025-10-26,40,0,15
2025-10-27,48,0,23
2025-10-28,48,0,18
2025-10-29,50,0,18
2025-10-30,61,0,25
2025-10-31,72,1,36
2025-11-01,72,0,23
2025-11-02,93,1,43
2025-11-03,107,50,39
2025-11-04,108,62,44
2025-11-05,111,53,35
2025-11-06,113,61,36
2025-11-07,113,44,26
2025-11-08,113,40,11
2025-11-09,113,37,18
2025-11-10,118,47,29
2025-11-11,119,42,21
2025-11-12,121,43,31
2025-11-13,121,30,18
2025-11-14,122,37,21
2025-11-15,123,37,18
2025-11-16,123,31,7
2025-11-17,123,35,20
2025-11-18,123,38,19
2025-11-19,123,31,18
2025-11-20,127,32,18
2025-11-21,127,31,17
2025-11-22,127,25,9
2025-11-23,127,27,17
2025-11-24,127,22,17
2025-11-25,127,33,20
2025-11-26,128,39,28
2025-11-27,128,29,16
2025-11-28,128,31,15
2025-11-29,128,23,10
2025-11-30,128,17,7
2025-12-01,128,12,10
2025-12-02,128,24,12