日付(JST),新規登録数,累積ユーザー数
2025-10-11,3,3
2025-10-12,0,3
2025-10-13,0,3
2025-10-14,0,3
2025-10-15,4,7
2025-10-16,8,15
2025-10-17,2,17
2025-10-18,0,17
2025-10-19,1,18
2025-10-20,8,26
2025-10-21,4,30
2025-10-22,5,35
2025-10-23,4,39
2025-10-24,2,41
2025-10-25,2,43
2025-10-26,3,46
2025-10-27,8,54
2025-10-28,0,54
2025-10-29,2,56
2025-10-30,11,67
2025-10-31,11,78
2025-11-01,0,78
2025-11-02,21,99
2025-11-03,14,113
2025-11-04,1,114
2025-11-05,3,117
2025-11-06,2,119
2025-11-07,4,123
2025-11-08,1,124
2025-11-09,1,125
2025-11-10,5,130
2025-11-11,1,131
2025-11-12,2,133
2025-11-13,0,133
2025-11-14,1,134
2025-11-15,1,135
2025-11-16,0,135
2025-11-17,0,135
2025-11-18,0,135
2025-11-19,0,135
2025-11-20,4,139
2025-11-21,0,139
2025-11-22,0,139
2025-11-23,0,139
2025-11-24,0,139
2025-11-25,0,139
2025-11-26,1,140
2025-11-27,0,140
2025-11-28,0,140
2025-11-29,0,140
2025-11-30,0,140
2025-12-01,0,140
2025-12-02,0,140